"id","geom","direction","barm","earm","region","display","rt_typea","rt_typeb","lrs_date","routeid","stateroute","relroutety","relroutequ","shape_stle","st_astext"
1145,"0102000020E6100000080000006D879C48DC925EC0F4650E1032A94740DE6E132BDA925EC02A570D3242A94740CBB8CFEAD7925EC0F3C10F8756A94740DC602532D6925EC093910AA468A94740E8567FB1D4925EC0889ED05079A94740AEF3428BD3925EC0019FD7BD8BA947404A427366D2925EC0F0ED657F9EA947404C043A90D1925EC00294B5DBAAA94740","i","144.37","144.63","NW","5","IS",1,"20161231","005","005","","","1355.1043318","LINESTRING(-122.294695046292 47.3218402929596,-122.29456593416 47.3223326268329,-122.294428541997 47.3229531123106,-122.294323479178 47.3235058833699,-122.294231771808 47.3240147608422,-122.294161620505 47.3245770743215,-122.294091808851 47.3251494643881,-122.294040733964 47.3255266796696)"
4068,"0102000020E6100000060000004A26F68AE3925EC01C54499336A9474013CF1A72E1925EC0FD68FD3E46A947409C65C5B2DF925EC00371734D55A94740F6E9E37ADD925EC0372B566A68A947402A5667CFDB925EC0876ADFC378A9474030E5577DDA925EC090F2BC158BA94740","d","144.38","144.56","NW","5","IS",1,"20161231","005","005","","","951.005750191","LINESTRING(-122.295138111477 47.3219780071306,-122.295010114842 47.322456239448,-122.294903462191 47.3229157270125,-122.294768068859 47.3234990044352,-122.294666148104 47.3239979592227,-122.294585548244 47.32455703474)"
2614,"0102000020E61000000400000030E5577DDA925EC090F2BC158BA94740F7298431D9925EC0306606F59DA947407C05ED88D7925EC004394059C2A947401B58CEB5D6925EC08FAC64C1D8A94740","d","144.56","144.71","NW","5","IS",1,"20161231","005","005","","","866.584257655","LINESTRING(-122.294585548244 47.32455703474,-122.294506434504 47.3251329690214,-122.294405204264 47.3262435496891,-122.294354869373 47.3269273511479)"
4064,"0102000020E6100000020000004C043A90D1925EC00294B5DBAAA947404B3CB08DD0925EC05D242BE7C1A94740","i","144.63","144.67","NW","5","IS",1,"20161231","005","005","","","256.975238893","LINESTRING(-122.294040733964 47.3255266796696,-122.293979093652 47.3262299500136)"
4065,"0102000020E6100000020000004B3CB08DD0925EC05D242BE7C1A94740CF5421D0CF925EC0441BF990D3A94740","i","144.67","144.71","NW","5","IS",1,"20161231","005","005","","","196.936242774","LINESTRING(-122.293979093652 47.3262299500136,-122.29393389945 47.3267689911213)"
4637,"0102000020E6100000030000001B58CEB5D6925EC08FAC64C1D8A94740D77C304CD6925EC0D5CDD6F6E3A94740846980EED5925EC06F1A0551ECA94740","d","144.71","144.75","NW","5","IS",1,"20161231","005","005","","","218.062675501","LINESTRING(-122.294354869373 47.3269273511479,-122.294329688407 47.3272694157455,-122.294307351496 47.3275243067663)"
4636,"0102000020E610000003000000CF5421D0CF925EC0441BF990D3A947404ACADD73CF925EC050E1CD29DCA9474063671C10CF925EC0F4456C9AE5A94740","i","144.71","144.75","NW","5","IS",1,"20161231","005","005","","","201.096709286","LINESTRING(-122.29393389945 47.3267689911213,-122.293911902039 47.3270313506388,-122.293888118494 47.3273194340399)"
1146,"0102000020E61000000700000063671C10CF925EC0F4456C9AE5A94740235F12F7CA925EC07DE497DD48AA4740FDCD7BA8C4925EC0A8B74CC0DAAA4740C5AF84BDBA925EC05650CB19C1AB4740BC0DB50FBA925EC0B85587A1D2AB47403EF5B185B9925EC02785DCD5E2AB4740FC562F48B9925EC065ED8C5BEBAB4740","i","144.75","145.85","NW","5","IS",1,"20161231","005","005","","","5772.80156519","LINESTRING(-122.293888118494 47.3273194340399,-122.293638008061 47.3303486816085,-122.293253060248 47.3348007559392,-122.292647723748 47.3418304674857,-122.292606283961 47.3423654471221,-122.292573379314 47.3428599669226,-122.292558714133 47.3431200445291)"
2615,"0102000020E610000007000000846980EED5925EC06F1A0551ECA94740F4EF47DBD1925EC075172D5049AA474076923AC7CB925EC0C1348E4FDAAA4740A8BD83E4C1925EC08F141588C2AB4740386C774BC1925EC0F9B33C9FD2AB4740F1F329BEC0925EC013F7447EE3AB474032DB849BC0925EC01C513499EBAB4740","d","144.75","145.85","NW","5","IS",1,"20161231","005","005","","","5700.51671786","LINESTRING(-122.294307351496 47.3275243067663,-122.294058628322 47.3303623409437,-122.293687636566 47.334787315785,-122.293084267286 47.3418741324359,-122.293047777771 47.3423651739503,-122.293014088602 47.3428800427193,-122.293005828612 47.3431273942426)"
4639,"0102000020E61000000300000032DB849BC0925EC01C513499EBAB474060E0AF7CC0925EC0954DB4CFF2AB47400F63BA6CC0925EC035F89656F9AB4740","d","145.85","145.88","NW","5","IS",1,"20161231","005","005","","","152.97074217","LINESTRING(-122.293005828612 47.3431273942426,-122.292998477702 47.3433475141893,-122.292994672793 47.3435466992527)"
4638,"0102000020E610000003000000FC562F48B9925EC065ED8C5BEBAB474034B77515B9925EC0865BA462F2AB474067294928B9925EC0EBF5C33FF9AB4740","i","145.85","145.88","NW","5","IS",1,"20161231","005","005","","","154.697880003","LINESTRING(-122.292558714133 47.3431200445291,-122.292546620328 47.3433345129516,-122.292551108787 47.3435439783896)"
2617,"0102000020E61000000F0000000F63BA6CC0925EC035F89656F9AB474073F3DD51C0925EC08961855204AC47407A1E21F9C0925EC040C5870318AC4740DF77D31BC2925EC08E9C58782BAC474060557C57C3925EC07F27B0113BAC4740B4C03F5DC5925EC005031B474EAC4740C4FE3980C7925EC00D35A59E5EAC474025D36A53CA925EC0884EF05C71AC4740EC0E3487CD925EC0FE12627182AC47400014C761D1925EC0056609B993AC4740A938DBE7D5925EC0570FAB4DA6AC4740C90B07E2D9925EC032FA5944B5AC4740C258CFDEE8925EC0F96D0147EFAC47402A0057F5EC925EC07F9ED2FFFFAC47408012602DEF925EC0E68C4C570AAD4740","d","145.88","146.49","NW","5","IS",1,"20161231","005","005","","","3139.95324312","LINESTRING(-122.292994672793 47.3435466992527,-122.292988268613 47.3438819075846,-122.293028147071 47.3444828427259,-122.293097454559 47.3450766022371,-122.29317271368 47.3455526456955,-122.293296158083 47.3461388475317,-122.293426567684 47.3466375643421,-122.293598989793 47.3472095654843,-122.293794442022 47.3477308014753,-122.294029659664 47.3482581420795,-122.294305767139 47.34882517674,-122.294548518067 47.3492818297713,-122.295463278281 47.3510521656971,-122.295712790453 47.3515624788679,-122.295848220654 47.351878082636)"
1147,"0102000020E61000000F00000067294928B9925EC0EBF5C33FF9AB4740A95F7948B9925EC03168F3FA04AC47409C20E6F4B9925EC0012BE6E119AC47401FFB2506BB925EC07D2E9B1C2EAC474031E02A5CBC925EC0B7E66D073FAC47406CFC8C57BE925EC09CC1F5D04FAC474014DA95AAC0925EC03C6EB0B161AC4740717262A4C3925EC0F496A5C573AC47402701EFEBC6925EC026EA15A184AC47407D72CE6FCA925EC018B4EA0995AC4740E25A2863CF925EC0099E78EDA8AC4740DCEE3736D3925EC0C3395072B8AC4740B68183B7E1925EC0878932B1F2AC4740B652184AE5925EC0E88E0CAB01AD474042B80AF2E8925EC02340E4CE11AD4740","i","145.88","146.5","NW","5","IS",1,"20161231","005","005","","","3224.188856","LINESTRING(-122.292551108787 47.3435439783896,-122.292558783082 47.3439019859801,-122.292599892362 47.3445398687236,-122.292665040103 47.3451572187159,-122.292746583815 47.3456734930637,-122.292867553407 47.3461857986433,-122.293009420719 47.3467313872793,-122.293191047802 47.3472830828231,-122.293391211894 47.3477975232129,-122.293605758294 47.3482983013166,-122.293907918367 47.3489052618934,-122.294141344664 47.349378861592,-122.295026663231 47.3511563774837,-122.295244716409 47.3516134082145,-122.29546786353 47.3521059622292)"
