date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
2011-04-30,45.9 F,49.9 F,57.4 F,30.45 IN,No data.,0.00 IN,No data.,No data.,4.03 MPH,9.21 MPH,999.00 MPH
2011-05-01,43.7 F,49.8 F,55.0 F,30.40 IN,No data.,0.00 IN,No data.,No data.,3.57 MPH,9.21 MPH,999.00 MPH
2011-05-02,45.9 F,51.5 F,59.9 F,30.15 IN,No data.,0.00 IN,No data.,No data.,5.29 MPH,17.26 MPH,999.00 MPH
2011-05-03,45.7 F,49.3 F,54.9 F,30.38 IN,No data.,0.00 IN,No data.,No data.,6.33 MPH,12.77 MPH,999.00 MPH
2011-05-04,45.0 F,50.3 F,56.8 F,30.44 IN,No data.,0.00 IN,No data.,No data.,3.91 MPH,13.81 MPH,999.00 MPH
2011-05-05,46.8 F,52.1 F,59.7 F,30.15 IN,No data.,0.00 IN,No data.,No data.,4.83 MPH,10.24 MPH,999.00 MPH
2011-05-06,47.7 F,51.2 F,55.6 F,30.05 IN,No data.,0.00 IN,No data.,No data.,5.18 MPH,8.06 MPH,999.00 MPH
2011-05-07,47.7 F,50.2 F,55.8 F,29.84 IN,No data.,0.00 IN,No data.,No data.,7.02 MPH,13.81 MPH,999.00 MPH
2011-05-08,45.9 F,48.9 F,56.1 F,29.89 IN,No data.,0.00 IN,No data.,No data.,5.87 MPH,11.39 MPH,999.00 MPH
2011-05-09,49.1 F,51.8 F,56.3 F,30.06 IN,No data.,0.00 IN,No data.,No data.,4.14 MPH,11.39 MPH,999.00 MPH
2011-05-10,48.6 F,51.7 F,57.2 F,30.12 IN,No data.,0.00 IN,No data.,No data.,3.34 MPH,6.90 MPH,999.00 MPH
2011-05-11,49.1 F,53.4 F,60.6 F,29.88 IN,No data.,0.00 IN,No data.,No data.,4.37 MPH,8.06 MPH,999.00 MPH
2011-05-12,43.5 F,48.6 F,58.6 F,30.12 IN,No data.,0.00 IN,No data.,No data.,7.48 MPH,11.39 MPH,999.00 MPH
2011-05-13,46.4 F,52.4 F,59.2 F,30.21 IN,No data.,0.00 IN,No data.,No data.,5.41 MPH,12.77 MPH,999.00 MPH
2011-05-14,51.3 F,56.4 F,60.3 F,29.85 IN,No data.,0.00 IN,No data.,No data.,5.64 MPH,14.96 MPH,999.00 MPH
2011-05-15,50.2 F,52.0 F,61.2 F,29.64 IN,No data.,0.00 IN,No data.,No data.,4.72 MPH,17.26 MPH,999.00 MPH
2011-05-16,48.6 F,51.4 F,55.4 F,29.80 IN,No data.,0.00 IN,No data.,No data.,8.86 MPH,13.81 MPH,999.00 MPH
2011-05-17,43.7 F,50.0 F,59.4 F,29.83 IN,No data.,0.00 IN,No data.,No data.,4.83 MPH,11.39 MPH,999.00 MPH
2011-05-18,48.9 F,55.5 F,62.8 F,29.86 IN,No data.,0.00 IN,No data.,No data.,5.75 MPH,12.77 MPH,999.00 MPH
2011-05-19,46.8 F,55.4 F,65.7 F,30.09 IN,No data.,0.00 IN,No data.,No data.,3.68 MPH,11.39 MPH,999.00 MPH
2011-05-20,48.7 F,56.6 F,66.9 F,30.10 IN,No data.,0.00 IN,No data.,No data.,3.57 MPH,10.24 MPH,999.00 MPH
2011-05-21,48.9 F,55.2 F,67.1 F,30.09 IN,No data.,0.00 IN,No data.,No data.,3.45 MPH,5.87 MPH,999.00 MPH
2011-05-22,49.3 F,51.8 F,56.5 F,30.06 IN,No data.,0.00 IN,No data.,No data.,2.88 MPH,6.90 MPH,999.00 MPH
2011-05-23,47.8 F,52.7 F,59.9 F,30.07 IN,No data.,0.00 IN,No data.,No data.,2.99 MPH,6.90 MPH,999.00 MPH
2011-05-24,50.0 F,54.8 F,62.2 F,30.06 IN,No data.,0.00 IN,No data.,No data.,4.26 MPH,9.21 MPH,999.00 MPH
2011-05-25,52.0 F,56.2 F,63.7 F,29.87 IN,No data.,0.00 IN,No data.,No data.,4.14 MPH,6.90 MPH,999.00 MPH
2011-05-26,47.5 F,51.1 F,57.6 F,29.90 IN,No data.,0.00 IN,No data.,No data.,8.06 MPH,13.81 MPH,999.00 MPH
2011-05-27,49.8 F,52.9 F,58.3 F,29.90 IN,No data.,0.00 IN,No data.,No data.,7.13 MPH,11.39 MPH,999.00 MPH
2011-05-28,48.0 F,51.6 F,58.3 F,29.97 IN,No data.,0.00 IN,No data.,No data.,6.10 MPH,13.81 MPH,999.00 MPH
2011-05-29,50.7 F,55.3 F,60.1 F,29.95 IN,No data.,0.00 IN,No data.,No data.,4.83 MPH,12.77 MPH,999.00 MPH
2011-05-30,51.1 F,55.1 F,60.8 F,29.91 IN,No data.,0.00 IN,No data.,No data.,5.75 MPH,10.24 MPH,999.00 MPH
2011-05-31,52.5 F,55.0 F,59.0 F,29.92 IN,No data.,0.00 IN,No data.,No data.,4.60 MPH,8.06 MPH,999.00 MPH
2011-06-01,51.6 F,54.8 F,61.2 F,29.97 IN,No data.,0.00 IN,No data.,No data.,4.95 MPH,9.21 MPH,999.00 MPH
2011-06-02,50.5 F,55.1 F,60.8 F,29.97 IN,No data.,0.00 IN,No data.,No data.,5.98 MPH,14.96 MPH,999.00 MPH
2011-06-03,50.2 F,55.2 F,64.0 F,30.06 IN,No data.,0.00 IN,No data.,No data.,6.67 MPH,14.96 MPH,999.00 MPH
2011-06-04,55.2 F,61.4 F,71.8 F,30.07 IN,No data.,0.00 IN,No data.,No data.,5.87 MPH,12.77 MPH,999.00 MPH
2011-06-05,54.9 F,63.2 F,72.5 F,29.96 IN,No data.,0.00 IN,No data.,No data.,4.26 MPH,10.24 MPH,999.00 MPH
2011-06-06,53.8 F,59.9 F,68.7 F,29.91 IN,No data.,0.00 IN,No data.,No data.,3.34 MPH,6.90 MPH,999.00 MPH
2011-06-07,53.2 F,58.9 F,71.2 F,29.96 IN,No data.,0.00 IN,No data.,No data.,8.40 MPH,13.81 MPH,999.00 MPH
2011-06-08,52.2 F,54.2 F,59.2 F,30.07 IN,No data.,0.00 IN,No data.,No data.,5.18 MPH,6.90 MPH,999.00 MPH
2011-06-09,53.2 F,58.4 F,69.1 F,30.16 IN,No data.,0.00 IN,No data.,No data.,3.34 MPH,6.90 MPH,999.00 MPH
2011-06-10,53.1 F,56.6 F,65.3 F,30.11 IN,No data.,0.00 IN,No data.,No data.,2.76 MPH,9.21 MPH,999.00 MPH
2011-06-11,53.8 F,56.4 F,61.2 F,30.00 IN,No data.,0.00 IN,No data.,No data.,3.80 MPH,8.06 MPH,999.00 MPH
2011-06-12,52.2 F,57.3 F,66.7 F,29.90 IN,No data.,0.00 IN,No data.,No data.,4.14 MPH,8.06 MPH,999.00 MPH
2011-06-13,53.6 F,58.9 F,65.3 F,29.91 IN,No data.,0.00 IN,No data.,No data.,8.52 MPH,18.30 MPH,999.00 MPH
2011-06-14,52.9 F,57.5 F,64.0 F,30.22 IN,No data.,0.00 IN,No data.,No data.,7.02 MPH,14.96 MPH,999.00 MPH
